date,tests,ati,new cases
2020-03-19,4973,6,17
2020-03-20,8284,11,31
2020-03-21,8915,3,59
2020-03-22,9967,3,66
2020-03-23,11223,7,143
2020-03-24,12624,6,186
2020-03-25,14466,8,144
2020-03-26,15998,23,123
2020-03-27,17453,24,263
2020-03-28,19663,25,160
2020-03-29,21460,31,308
2020-03-30,23103,33,192
2020-03-31,24654,36,293
2020-04-01,26609,34,215
2020-04-02,28483,78,278
2020-04-03,31657,83,445
2020-04-04,36092,119,430
2020-04-05,38623,141,251
2020-04-06,40987,179,193
2020-04-07,43578,274,360
2020-04-08,47207,162,344
2020-04-09,51802,178,441
2020-04-10,55430,183,265
2020-04-11,59272,208,523
2020-04-12,62328,204,310
2020-04-13,67204,231,333
2020-04-14,70097,241,246
2020-04-15,74827,245,337
2020-04-16,79629,243,491
2020-04-17,85805,258,360
2020-04-18,90991,248,351
2020-04-19,93611,256,328
2020-04-20,98491,261,190
2020-04-21,101552,245,306
2020-04-22,106357,288,468
2020-04-23,113336,236,386
2020-04-24,121602,241,321
2020-04-25,126645,235,218
2020-04-26,136518,236,401
2020-04-27,143834,227,303
2020-04-28,150309,243,277
2020-04-29,166993,247,362
2020-04-30,175374,221,262
2020-05-01,183688,249,327
2020-05-02,190540,265,165
2020-05-03,195508,255,431
2020-05-04,199068,243,349
2020-05-05,205842,244,325
2020-05-06,217139,244,270
2020-05-07,226613,234,392
2020-05-08,237280,232,312
2020-05-09,248056,245,320
2020-05-10,256749,242,231
2020-05-11,262219,255,226
2020-05-12,269183,238,190
2020-05-13,277804,228,224
2020-05-14,286217,225,245
2020-05-15,294601,219,190
2020-05-16,303734,206,267
2020-05-17,310407,205,167
2020-05-18,313621,193,165
2020-05-19,322074,195,155
2020-05-20,332487,198,196
2020-05-21,342466,203,198
2020-05-22,352647,200,127
2020-05-23,361566,196,145
2020-05-24,368482,188,213
2020-05-25,377191,177,213
2020-05-26,385728,181,146
2020-05-27,397563,198,165
2020-05-28,410000,182,197
2020-05-29,421451,182,191
2020-05-30,425819,160,151
2020-05-31,439197,160,124
2020-06-01,443252,159,141
2020-06-02,448813,166,119
2020-06-03,459405,162,152
2020-06-04,472850,153,238
2020-06-05,484782,152,196
2020-06-06,496408,153,187
2020-06-07,503200,144,189
2020-06-08,506115,146,125
2020-06-09,511295,152,145
2020-06-10,520564,150,196
2020-06-11,531619,153,237
2020-06-12,542646,171,222
2020-06-13,552670,171,275
2020-06-14,560596,165,320
2020-06-15,564278,175,166
2020-06-16,573638,173,250
2020-06-17,585353,161,345
2020-06-18,597696,178,320
2020-06-19,608771,184,320
2020-06-20,619997,190,330
2020-06-21,626330,195,315
2020-06-22,630374,195,246
2020-06-23,639322,200,214
2020-06-24,651003,186,321
2020-06-25,663558,199,460
2020-06-26,675382,186,411
